species,reason
dragon,"One of us is a dragon otherkin. Another is an angelic humanoid who has a growing identifcation with gryphons and a gryphonesque alternate form (no personality or story attached, so not 'sona ...)"
dragon,"We are strongly dissociated identities, perceptual constructs running non-concurrently - we fabricate our avatars through the information within the shared portion of our memories to best represent what makes us, us. None of us have a human avatar, but some of us are so far out as to be constructs of superstring interactions or supercomputers. "
othercanine,No. 
otherbird,I like the species that I chose as my fursona- the attributes of the animal appeal to me and i try to bring them to life in what I do.
otherungulate,"My fursona is a donkey primarily because I was a fan of the transformation scenes in both Disney's Pinocchio, and the live-action Adventures of Pinocchio when I was a child. Being a fan of TF is partially what introduced me to Furry. I additionally chose a donkey because, like them, I have big ears. It's a way of poking fun at myself. I'm definitely not the most beautiful person, but I'll help you carry your burdens if you need someone to. "
arcticfox,"I really like foxes, but I also wanted to be a little different then the average fox of the fandom. It grew out of a bunch of things and now I'll do anything that has fox in it."
skunk,I am mainly a Skunk fused with a dragon. I picked a skunk because my personality is that of a skunk's I am really very skittish and I get scared easily.
wolf,I've liked everything about wolves for as long as I can remember.
wolf,I have a strong connection to wolves and they match my personality
redfox,"I have a similar demeanor to a fox, from what I can gather."
domesticcat,I grew up with cats my entire life and I felt that they represent me the best.
arcticfox,"I've always been interested in Russian aviation, with out putting a lot of though into it I chose an Arctic Fox since it came from that region."
germanshepherd,I like dogs especialy german shepherds and wolves i've always found interesting.
husky,"playful nature, but tending to be a loner. fluffy, and I've received the nickname  ""huskypup"" by non-furry friends who didn't know I was a furry."
domesticcat,I recognize with its traits
pandabear,Pandas be my life
wolf,the wolf is part of my totem spirit and I identify with its characteristics
wolf,Wolfs are cool and I seam to have many wolf like qualities
wolf,"Wolves are cool, and it reflects that I prefer to be alone sometimes"
redfox,It fits me and my personality
otherfeline,"I've had my fursona thought out for years but never really matched it up with a species. She was always described as being a Folf Cat when she never looked work or dog like at all. So one day i discovered the Serval and have suck with it since then. Besides that tho I've also started to find my self acting more cat like instead of dog like if that makes sense. Just like movement, personality, and thought like i guess."
domesticcat,"Playful, Hyper, and Semi-innocent as kittens.... xD"
husky,"Wusky because huskies and wolves are my favorite animals, and I admire the loyalty they portray, as well as their aesthetic beauty."
riverotter,Seems to fit with own identity.
wolf,"Loner personality, but will work with groups once I get friendly with the people there if it looks like it progresses in a positive direction."
redfox,Because I admire it's traits.
lion,"have had an affinity for felines since very young age, 5 or so.  after seeing The Lion King and finding furry fandom, i picked a lion character and have stuck with it.  strong and independent yet social and polyamorous"
germanshepherd,"It fits my personality, and Shepherds are noble dogs, and strong as well."
griffin,I love birds and my first name means lion. So lion+bird=gryphon. Gryphons have also been my favorite mythical creatures since I was a child.
wolf,I have always loved wolves since I was little (6-7 YO).
hyaena,"People assume hyenas are cowardly, dim-witted scavengers, but they're not.
People assume I'm a lazy freeloader, but I'm not."
greyfox,Not really
riverotter,I believe I was an otter in a past life
lion,It just seemed to suit me.
otherfeline,"My personality best goes with cats and I tended to act like one somewhat even before finding the fandom. Also, since I love Pokemon I chose my favorite one, which still happens to be a feline, Mew."
wolf,"Grew up with and was around wolves, I feel a very close connection with them."
husky,"Not really, just enjoy huskies."
otherfeline,I've always felt especially close to cats and even have alot of cat-like habits.....and the species of cat i picked for my 'sona has always been my favorite species of cat since i was little.
jackal,"I feel it suits me. I'm opportunistic as a jackal is, and I look out for my circle of friends and admittedly, take on an underhanded playstyle if needed to ensure our well-being."
griffin,"The power and grace of the Gryphon (Griffin) is awesome, and I love both avians and land animals, so it is a good mix for me."
