Species,Reason,Character status
panther,A representation of traits of my ideal partner.,Deprecated character
dragon,"I chose a dragon because I've always loved them in video games/cartoons/print/literature/everything, and scalies in general have always appealed to me due to their typically intelligent nature.",Primary character
otherdog,Roleplay artifact,Primary character
dragon,Favorite animal,Primary character
"fennec, lion, dragon, raptor, kangaroo, hyaena, bat","I've gone through a lot of changes, and decided to just take a bunch of stuff I like, rather than swap species every month or so",Primary character
horse,Beautiful animal with natural flaws,Primary character
otherfeline,Sometimes friendly sometimes silly and sometimes serious,Secondary Character
otherdog,Possibly tsundere.,Secondary Character
dragon,this is what i am,Primary character
dragon,"Mythic creature and expression of creativity since there is no ""correct"" way for a dragon to be since it is fictional. Escapism.",Primary character
griffin,"Flight, fantasy, creative expression, feathers.",Secondary Character
otherungulate,"Feels ""lesser"" than my other characters and tends to be what I associate with depression the most.",Secondary Character
otherfeline,"Jaguaruni :) more huggable then scale, I want to get involved in emeral city critters...",Secondary Character
otherfeline,Feel some kind of a connection,Primary character
otherbear,Fits my Fursona/me better on a spirttual level,Primary character
"otherdog, brownbear, grizzlybear",I like both dogs and bears.,Primary character
redfox,I feel that my human characteristics match the characteristics of a red fox. My furry self feels more true to my actual self.,Primary character
dragon,"Mana dragon, a species from my favorite video game",Primary character
hyaena,"I've always loved hyenas. Also they eat everything and have obnoxious laughs, like me. ",Secondary Character
badger,I resemble one both physically and socially,Primary character
rat,I like rats.,Secondary Character
otherdog,General species traits fits my personality and I like it's appearance,Secondary Character
other,I like the way they look.,Primary character
otherfeline,I think both are cute,Primary character
,"For I have no name for it and it is not of this world, I just like dressing up and pretending to be it.",Primary character
otherfeline,Childhood nickname,Primary character
otherdog,I like spots.,Secondary Character
mouse,I like mice.,Secondary Character
otherfox,"Mischief, playfulness, and intelligence are often associated with foxes.",Primary character
other,"I like making up my own characters and species, so I can't settle on an existing one.",Primary character
other,I just like sheep.,Primary character
deer,"Congruence of behavioral, psychological and physical attributes. Also Bambi. ;-)",Primary character
domesticcat,Because meow (fuck you),Primary character
other,i like em,Primary character
lion,I like big cats and I like organized social structures.,Primary character
rat,I adore rats and own rats!,Primary character
domesticcat,Cats have always been my favorite.,Primary character
otherdog,First imaginary friend!,Secondary Character
"othermustelid, other",To many to list. But very well portrays my personality.,Primary character
rabbit,I like rabbits.,Primary character
otherfeline,I'm lazy as fuck and I only care about you if you feed me.,Primary character
redfox,I saw him in Second Life and I just knew. I had to be him. ,Primary character
arcticfox,I believe that the arctic fox is my totem animal.,Primary character
mouse,I think mice are cool. ,Primary character
wolf,"As I said previously, I love canines, and I wanted a character that wasn't exactly ""me,"" but was something I could put some of my other interests into that didn't fit my main character",Secondary Character
redfox,"Because I love canines in general, and the fox seemed to fit my personality ",Primary character
tiger,Strength and beauty,Primary character
rabbit,Soft and sexy,Secondary Character
dragon,I really enjoy dragons.,Secondary Character
kitsune,"Always seemed like a kind, well known species.",Primary character
dragon,"Again, I really enjoy dragons.",Secondary Character
redfox,I feel like I do have some of the characteristics of a fox and I just like foxes...,Primary character
husky,'Cause huskies are funny dogs. ,Primary character
other,I am Who I am,Primary character
pandabear,Because i have dark circles around my eyes which i can't seem to be able to get rid of,Primary character
otherreptile,I like reptiles.,Secondary Character
lion,I like lions.,Secondary Character
otherprimate,Humans are pretty cool.,Secondary Character
